title,year,genre,actor,imdb_id,kind,matched_by,rating,votes
Street Food: Latin America,2020,Social & Cultural Documentaries,,12742136,tv series,year match,8.1,448
James Acaster: Repertoire,2018,Stand-up & Chat Shows,James Acaster,7818686,tv mini series,year and actor match,8.4,2209
Victim Number 8,2018,Action & Adventure Programmes,"César Mateo,María de Nati,Verónika Moral",8500086,tv series,year and actor match,7,1238
Get Even,2020,Teen Programmes,"Kim Adis,Mia McKenna-Bruce,Bethany Antonia",9724628,tv series,year and actor match,6.1,642
Hip-Hop Evolution,2016,Social & Cultural Documentaries,Shad Kabango,4130418,tv series,year and actor match,8.4,4713
Green Frontier,2019,International Programmes,"Juana del Río,Ángela Cano,Miguel Dionisio Ramos",9641192,tv series,year and actor match,7.3,1842
Diagnosis,2019,Science & Nature TV,Lisa Sanders,8201618,tv mini series,year and actor match,7.8,779
Tom Segura: Ball Hog,2020,Stand-up & Chat Shows,Tom Segura,11861072,movie,year and actor match,7.3,1667
Greatest Events of WWII in Colour,2019,Military Documentaries,,9103932,tv series,year match,8.7,4140
Win the Wilderness,2020,Reality TV,,11718294,tv mini series,year match,7,491
Daybreak,2019,Action & Adventure Programmes,"Colin Ford,Alyvia Alyn Lind,Sophie Simnett",8755226,tv series,year and actor match,6.7,13709
Basketball or Nothing,2019,Reality TV,,10698408,tv series,year match,7.4,411
"Nisman: The Prosecutor, the President, and the Spy",2020,True Crime Documentaries,,10291112,tv mini series,Company Name Match,7.7,431
Dark Tourist,2018,Social & Cultural Documentaries,,8725166,tv series,year match,7.5,5534
The Day I Met El Chapo,2017,Social & Cultural Documentaries,Kate del Castillo,7334894,tv series,year and actor match,6.9,887
The Unremarkable Juanquini,2020,Comedy Programmes,"Antonio Sanint,María Cecilia Sánchez,Mariana Gómez",12189308,tv series,year and actor match,4,113
No Time for Shame,2019,Reality TV,Santiago Artemis,11215130,tv series,year and actor match,5.5,64
Narcos: Mexico,2018,Series,"Diego Luna,Michael Peña,Scoot McNairy",8714904,tv series,year and actor match,8.4,55354
Las muñecas de la mafia,2009,Spanish-language TV Programmes,"Amparo Grisales,Carla Giraldo,Paola Rey",1585368,tv series,year and actor match,6.6,209
Hemlock Grove,2013,TV Programmes Based on Books,"Famke Janssen,Landon Liboiron,Dougray Scott",2309295,tv series,year and actor match,7.1,36097
Rich in Love,2020,International Films,"Danilo Mesquita,Giovanna Lancellotti,Jaffar Bambirra",10329566,movie,year and actor match,5.8,1587
Zona Rosa,2019,Stand-up & Chat Shows,"Manu NNa,Ana Julia Yeyé,Ray Contreras",11194518,tv series,year and actor match,5.8,33
Trollhunters: Tales of Arcadia,2016,Kids' TV for ages 11 to 12,"Kelsey Grammer,Emile Hirsch,Charlie Saxton",1734135,tv series,year and actor match,8.4,12226
The Business of Drugs,2020,Social & Cultural Documentaries,Amaryllis Fox,12588416,tv mini series,year and actor match,7.3,848
The Club,2019,Spanish-language TV Programmes,"Alejandro Speitzer,Minnie West,Jorge Caballero",10833132,tv series,year and actor match,6.3,501
Crash Landing on You,2019,Korean Programmes,"Hyun Bin,Son Ye-jin,Seo Ji-hye",10850932,tv series,year and actor match,8.8,7582
